Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
0.497917	0.491134	0.021681	3.234739	24.615857	
0.493739	0.486311	0.021600	3.175979	24.512139	
0.472381	0.464649	0.021952	3.168737	24.385372	
0.496760	0.489089	0.021536	3.159181	24.454518	
0.501610	0.493939	0.021365	3.164938	24.804087	
0.495159	0.487226	0.021919	3.166637	24.731100	
0.476113	0.468095	0.021979	3.162286	24.930854	
0.484280	0.476345	0.021583	3.178443	24.834819	
0.503129	0.495241	0.021290	3.180530	24.719576	
0.493891	0.485915	0.021364	3.198736	24.331592	
0.478273	0.470190	0.021486	3.149451	24.385372	
0.491387	0.483477	0.020867	3.163153	24.711893	
0.502286	0.493826	0.020715	3.136099	24.915489	
0.474661	0.465505	0.021698	3.110330	24.612016	
0.472869	0.463700	0.021503	3.099625	24.919330	
0.512800	0.503983	0.020525	3.067717	25.042256	
0.482802	0.473609	0.021243	3.044686	25.261217	
0.491758	0.482647	0.020903	3.082216	25.015366	
0.488655	0.479280	0.021354	3.119824	25.169023	
0.476639	0.467202	0.021341	3.108252	25.437923	
0.484511	0.475073	0.021192	3.135413	25.153657	
0.491648	0.482375	0.020675	3.138540	25.192071	
0.502402	0.493117	0.020561	3.148615	25.080670	
0.486908	0.476797	0.020776	3.125248	25.284266	
0.474026	0.463679	0.020766	3.120268	25.172864	
0.513256	0.503371	0.019654	3.117497	25.046097	
0.496866	0.486670	0.020134	3.144904	24.907806	
0.489887	0.479454	0.020462	3.139371	25.088353	
0.501976	0.491631	0.020156	3.089794	25.403350	
0.509931	0.499580	0.020033	3.073883	25.499385	
0.484700	0.473994	0.020583	3.108515	25.364935	
0.496615	0.486121	0.020045	3.072583	25.641518	
0.491208	0.480508	0.020304	3.093334	25.645360	
0.478055	0.467058	0.020684	3.072754	25.672250	
0.502376	0.490852	0.019981	3.058339	26.321451	
0.503518	0.492103	0.019611	3.119475	25.683774	
0.492188	0.480564	0.019844	3.101746	25.998771	
0.500362	0.488739	0.019716	3.046699	26.229256	
0.517760	0.506273	0.019365	3.080471	25.856638	
0.494722	0.483022	0.019598	3.074333	25.852797	
0.489288	0.477195	0.020133	3.065703	26.087124	
0.499530	0.487624	0.019699	3.077161	26.037185	
0.492810	0.480538	0.020181	2.998430	26.513522	
0.501857	0.489812	0.019688	3.006920	26.617240	
0.482687	0.469903	0.020071	2.994463	26.720959	
0.500831	0.487793	0.019594	2.949273	27.139674	
0.501835	0.488724	0.019541	2.967100	27.550707	
0.508215	0.495161	0.019343	3.028365	27.235710	
0.515316	0.502465	0.018929	3.042481	26.932237	
0.477922	0.464172	0.020134	3.053212	26.694069	
0.492411	0.478982	0.019550	3.087421	26.210049	
0.514390	0.501330	0.018901	3.054124	26.697910	
0.510854	0.497893	0.018651	3.039683	26.475108	
0.505946	0.492476	0.019272	3.053687	26.809312	
0.488607	0.474787	0.019576	3.022281	27.181930	
0.511119	0.496739	0.019025	3.000882	27.546865	
0.517437	0.502949	0.019020	2.997608	28.326675	
0.489089	0.474067	0.019610	3.028510	27.980947	
0.500166	0.485458	0.019094	2.985722	28.449600	
0.508499	0.493577	0.019263	2.976186	28.365089	
0.507017	0.492307	0.018885	2.957967	28.149969	
0.497567	0.482879	0.018753	2.977856	28.119238	
