Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.372826	0.372826	0.000000	2.308051	20.140000	2.289809	20.930000	14.977329	
0.030618	0.030618	0.000000	2.508427	24.700000	2.480642	25.120000	14.788635	
0.001444	0.001444	0.000000	2.597097	31.200000	2.564524	31.600000	14.759649	
0.000457	0.000457	0.000000	2.658274	34.400000	2.628457	34.600000	14.762639	
0.000414	0.000414	0.000000	2.722927	34.720000	2.708168	34.810000	14.747284	
0.000427	0.000427	0.000000	2.830996	32.540000	2.831776	32.410000	14.746272	
0.361688	0.361688	0.000000	4.042844	14.480000	4.056748	14.860000	14.716829	
0.049450	0.049450	0.000000	4.786829	16.600000	4.787861	16.520000	14.835806	
0.026925	0.026925	0.000000	4.276813	23.560000	4.312503	23.430000	14.851999	
0.020739	0.020739	0.000000	3.978116	28.940000	4.041539	29.050000	14.807683	
0.000606	0.000606	0.000000	3.887685	31.520000	3.951241	32.080000	14.797856	
0.000473	0.000473	0.000000	3.946291	31.940000	4.008733	32.290000	14.804232	
0.000523	0.000523	0.000000	4.144119	29.660000	4.198536	30.410000	14.812475	
0.286486	0.286486	0.000000	3.443325	15.060000	3.462820	14.530000	14.836852	
0.271802	0.271802	0.000000	4.110534	12.500000	4.114256	12.300000	14.844724	
0.035655	0.035655	0.000000	4.855493	14.240000	4.842134	14.260000	14.834572	
0.020385	0.020385	0.000000	4.752226	19.600000	4.750199	19.660000	14.816970	
0.014114	0.014114	0.000000	4.537867	25.040000	4.535443	24.660000	14.855497	
0.021153	0.021153	0.000000	4.316458	29.360000	4.313743	28.780000	14.854169	
0.020279	0.020279	0.000000	4.154261	31.380000	4.149023	31.300000	14.861888	
0.000598	0.000598	0.000000	4.113877	32.000000	4.111036	32.100000	14.870570	
0.000479	0.000479	0.000000	4.247808	30.420000	4.253238	29.790000	14.881403	
0.000473	0.000473	0.000000	4.542389	26.720000	4.561231	26.020000	14.922641	
0.273030	0.273030	0.000000	3.931664	22.460000	3.872995	22.760000	14.921570	
0.034104	0.034104	0.000000	4.048417	25.800000	4.006613	26.010000	14.934262	
0.022513	0.022513	0.000000	4.111931	30.060000	4.101557	29.400000	14.966190	
0.018607	0.018607	0.000000	4.055951	32.640000	4.069606	32.130000	14.980989	
0.001143	0.001143	0.000000	4.060963	33.880000	4.089393	33.320000	15.008867	
0.000328	0.000328	0.000000	4.154579	32.000000	4.184779	31.390000	15.051338	
0.000356	0.000356	0.000000	4.468318	27.700000	4.491271	27.380000	15.090141	
0.860600	0.804479	0.224483	3.789664	8.940000	3.788484	9.200000	78.938927	
0.147910	0.097244	0.202664	4.549261	13.720000	4.545866	13.390000	77.321833	
0.297465	0.183166	0.457196	4.541546	14.360000	4.524840	14.010000	76.601349	
0.066751	0.025782	0.163875	4.220789	20.800000	4.159658	20.760000	76.143217	
0.046933	0.019863	0.108281	3.944316	27.260000	3.856978	27.830000	75.787612	
0.050627	0.022041	0.114344	3.777979	31.580000	3.694233	32.250000	76.105367	
0.041757	0.020654	0.084412	3.712202	33.960000	3.634393	34.340000	76.020770	
0.043466	0.016673	0.107170	3.622320	35.500000	3.555863	35.890000	75.881127	
0.040299	0.015043	0.101025	3.565786	37.180000	3.517538	37.600000	75.791794	
0.050470	0.024390	0.104319	3.564909	38.720000	3.535094	38.960000	75.701373	
0.034586	0.012982	0.086415	3.473968	40.360000	3.435475	40.590000	75.624399	
0.028509	0.010330	0.072717	3.447518	41.180000	3.412032	41.160000	75.570316	
0.041106	0.013624	0.109930	3.311636	42.060000	3.282597	42.670000	75.506113	
0.034215	0.009896	0.097277	3.223767	42.480000	3.203773	43.150000	75.467012	
0.031397	0.008656	0.090965	3.140523	42.900000	3.142041	43.300000	75.427343	
0.186202	0.118136	0.272264	3.196200	35.440000	3.172797	36.290000	75.406602	
0.083360	0.022519	0.243364	3.275856	33.960000	3.252481	34.760000	75.440795	
0.065194	0.010086	0.220432	3.238041	37.500000	3.228722	38.350000	75.423843	
0.044595	0.006434	0.152646	3.156290	40.040000	3.163073	40.790000	75.416574	
0.047224	0.010845	0.145514	3.108406	42.360000	3.128174	42.490000	75.407485	
0.035558	0.005145	0.121651	3.009952	43.640000	3.043196	44.110000	75.391850	
0.037307	0.008212	0.116379	2.909376	44.820000	2.946692	45.510000	75.348420	
0.045905	0.014065	0.127363	2.890715	45.020000	2.921119	45.860000	75.336580	
0.026910	0.002467	0.097772	2.848772	45.980000	2.877826	46.280000	75.319072	
0.031596	0.006058	0.102152	2.843205	46.280000	2.887769	46.630000	75.307248	
0.038467	0.008690	0.119107	2.827206	47.140000	2.872595	47.340000	75.291397	
0.035965	0.007792	0.112690	2.909786	47.660000	2.954349	47.220000	75.276088	
0.039213	0.009892	0.117283	2.904305	47.540000	2.957997	47.370000	75.264428	
0.073000	0.013427	0.238294	2.853004	48.580000	2.913903	48.000000	75.252073	
0.054789	0.003797	0.203972	2.731697	50.560000	2.777756	50.330000	75.247561	
0.057041	0.006559	0.201924	2.650695	52.340000	2.687972	51.810000	75.241291	
0.044098	0.002866	0.164926	2.629366	53.380000	2.676340	52.640000	75.238857	
0.050506	0.005703	0.179210	2.607938	54.140000	2.656961	53.320000	75.235122	
0.041425	0.002882	0.154174	2.591485	54.880000	2.638463	54.010000	75.229896	
0.045030	0.005402	0.158513	2.545071	55.900000	2.590911	55.050000	75.217986	
0.050550	0.005630	0.179678	2.565403	55.520000	2.624183	54.660000	75.216283	
0.048069	0.005373	0.170786	2.531831	55.960000	2.591528	54.410000	75.209761	
0.037929	0.001997	0.143728	2.511293	55.960000	2.573334	54.920000	75.205504	
0.053120	0.008937	0.176732	2.523515	56.320000	2.574215	55.400000	75.197856	
0.037783	0.002079	0.142815	2.577947	55.820000	2.627210	55.120000	75.193036	
0.050566	0.007254	0.173249	2.534390	55.680000	2.581831	55.530000	75.189706	
0.038286	0.002131	0.144621	2.571477	55.740000	2.619754	55.380000	75.187814	
