Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.203855	0.008989	0.890815	1.571560	61.150000	21.525164	
0.203653	0.007698	0.887045	1.586939	61.290000	21.617082	
0.202947	0.009113	0.855974	1.590707	61.620000	21.649066	
0.203771	0.008806	0.860536	1.594173	61.510000	21.758560	
0.196309	0.008781	0.827712	1.570400	61.720000	22.046544	
0.200761	0.008560	0.820467	1.558439	61.680000	21.872768	
0.200513	0.010067	0.812682	1.526278	61.720000	21.969959	
0.196123	0.007976	0.802763	1.526249	62.550000	22.227365	
0.199558	0.008706	0.795029	1.527964	62.740000	21.678910	
0.199042	0.008131	0.788680	1.538612	62.610000	22.282701	
0.208358	0.009097	0.822753	1.509504	62.720000	21.960199	
0.203322	0.007793	0.795293	1.494692	63.350000	21.988467	
0.207348	0.008944	0.793984	1.511598	63.210000	21.899345	
0.202758	0.008858	0.775599	1.505435	63.450000	21.744453	
0.203516	0.007591	0.778006	1.494776	63.960000	22.131248	
0.211775	0.008136	0.790265	1.510735	64.130000	22.135748	
0.205659	0.007651	0.768032	1.515090	64.000000	21.593092	
0.212537	0.009618	0.786782	1.515161	64.270000	22.247972	
0.207759	0.008514	0.750466	1.496843	64.050000	22.427590	
0.210047	0.009150	0.756317	1.482002	63.840000	22.455833	
0.202072	0.006679	0.735600	1.467495	64.310000	22.122891	
0.206121	0.007661	0.729750	1.449437	64.840000	22.493823	
0.211181	0.007474	0.745295	1.458186	64.780000	22.687876	
0.212685	0.007873	0.749025	1.471496	64.980000	22.330841	
0.224594	0.008912	0.774965	1.488045	64.400000	22.086357	
0.217197	0.008806	0.741275	1.485801	64.660000	22.241494	
0.214370	0.007455	0.735698	1.490914	64.860000	22.606882	
0.213968	0.009975	0.716556	1.498226	64.690000	22.722473	
0.214060	0.007169	0.716043	1.490144	65.120000	22.326652	
0.209383	0.007351	0.698923	1.490562	65.370000	22.453767	
0.212032	0.007550	0.702340	1.481037	65.870000	22.667408	
0.216688	0.008263	0.702337	1.452177	65.930000	22.839045	
0.210425	0.007961	0.681986	1.437257	66.400000	22.903156	
0.212100	0.008366	0.684122	1.438391	66.450000	22.948505	
0.214503	0.007422	0.679931	1.438178	66.820000	22.759104	
0.212747	0.007714	0.672928	1.445750	66.650000	23.140747	
0.211305	0.007628	0.668480	1.452177	66.590000	23.003265	
0.210653	0.007185	0.651369	1.472367	66.310000	23.266991	
0.213309	0.007374	0.659035	1.488750	66.420000	23.268473	
0.217272	0.008130	0.669255	1.514852	66.370000	22.940799	
0.226331	0.007679	0.684570	1.497829	66.690000	23.240076	
0.235750	0.007411	0.713094	1.469196	66.870000	23.408782	
0.229019	0.007892	0.690346	1.454190	67.240000	22.730285	
0.234979	0.007647	0.696528	1.439715	67.670000	23.281522	
0.222851	0.007048	0.657944	1.430157	67.730000	23.137645	
0.224174	0.006775	0.662549	1.411321	67.820000	23.496158	
0.229221	0.007313	0.665333	1.373615	68.020000	23.520271	
0.221292	0.007746	0.635945	1.347762	68.460000	23.642363	
0.227781	0.008225	0.653563	1.368058	68.440000	23.639327	
0.226013	0.006514	0.644226	1.380681	68.610000	23.952018	
0.228403	0.007441	0.643027	1.372892	68.970000	23.616269	
0.233694	0.007315	0.658559	1.342879	69.380000	23.430555	
0.236068	0.007350	0.657043	1.316477	69.810000	23.146550	
0.234711	0.007709	0.645936	1.307207	69.810000	23.564506	
0.229905	0.007246	0.633343	1.271609	70.470000	23.531997	
0.232353	0.007313	0.633075	1.263684	70.180000	23.367310	
0.229234	0.006839	0.619038	1.257344	70.600000	22.981958	
0.229742	0.006962	0.619909	1.232911	70.870000	23.525141	
0.233877	0.006340	0.626594	1.235424	70.900000	23.866465	
0.230292	0.007374	0.607285	1.217179	71.190000	23.864412	
0.234226	0.006720	0.619590	1.213296	71.370000	23.773609	
0.229984	0.007383	0.600306	1.208722	71.430000	24.070180	
0.239007	0.007686	0.617092	1.214540	71.510000	23.841848	
0.229780	0.006599	0.595149	1.216417	71.930000	24.320040	
0.233239	0.006077	0.600132	1.238596	71.760000	23.968259	
0.234530	0.007054	0.594439	1.222600	71.740000	24.149772	
0.226438	0.006190	0.575342	1.218334	72.180000	23.878302	
0.228872	0.006968	0.574217	1.182855	72.570000	24.031494	
0.233065	0.007510	0.577607	1.190627	72.440000	24.089970	
0.222613	0.006323	0.553702	1.199598	72.390000	23.923991	
0.228671	0.006917	0.562153	1.197645	72.310000	24.234772	
0.226450	0.006467	0.552282	1.195608	72.280000	23.757120	
0.230107	0.006780	0.560507	1.198719	72.280000	24.616972	
0.234286	0.007123	0.564430	1.190733	72.570000	24.559283	
0.232006	0.006380	0.555544	1.173045	72.830000	24.234026	
0.226088	0.006782	0.539828	1.180250	72.960000	24.512326	
0.230726	0.006291	0.546390	1.171964	73.190000	24.179432	
0.224650	0.006448	0.527133	1.186089	73.050000	24.736302	
0.225797	0.006500	0.529624	1.179493	73.160000	24.292618	
0.227809	0.005947	0.529401	1.146126	73.790000	24.566777	
0.224726	0.006189	0.518160	1.145584	73.670000	24.769964	
0.233569	0.007998	0.534687	1.156338	73.590000	24.358799	
0.235092	0.005942	0.535979	1.161683	73.460000	24.287639	
0.231432	0.006605	0.523382	1.146595	73.420000	24.871803	
0.228948	0.005987	0.518892	1.132155	73.730000	24.953913	
0.237701	0.005670	0.531989	1.151044	73.700000	24.788317	
0.240610	0.006621	0.534980	1.141881	73.680000	24.503316	
0.245285	0.006117	0.546668	1.153068	73.940000	24.772187	
0.256175	0.006626	0.561167	1.155733	73.690000	24.521704	
0.253210	0.006660	0.553841	1.159610	73.610000	24.946139	
0.246457	0.006627	0.538177	1.161204	73.700000	24.306988	
0.254598	0.007384	0.545728	1.155317	74.050000	24.704758	
0.249862	0.006237	0.537655	1.141685	74.180000	24.904218	
0.246087	0.006315	0.527554	1.126524	74.380000	25.115129	
0.259198	0.006756	0.547821	1.129470	74.330000	25.224799	
0.250361	0.006462	0.529135	1.132087	74.600000	25.432888	
0.249507	0.005955	0.525517	1.123883	74.790000	25.295065	
0.253067	0.007436	0.524136	1.125774	74.640000	25.460304	
0.249854	0.005652	0.520964	1.118012	74.700000	25.526509	
0.250569	0.006129	0.517427	1.128865	74.700000	25.695884	
0.255995	0.007260	0.522061	1.143144	74.440000	25.509263	
0.251727	0.006373	0.514840	1.151118	74.340000	25.745100	
0.253021	0.006411	0.511978	1.157813	74.270000	25.415476	
0.261221	0.006088	0.526863	1.147915	74.560000	25.661661	
0.260576	0.005959	0.525661	1.129387	74.810000	25.788378	
