Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.264790	0.004004	1.192164	4.245189	13.740781	22.219046	
0.275023	0.005133	1.221983	4.171664	14.074985	22.400041	
0.276912	0.005638	1.197796	3.936202	15.081438	21.059956	
0.264583	0.004908	1.146152	3.988475	14.470652	22.396996	
0.262728	0.004795	1.138462	4.038370	13.936693	22.605070	
0.290341	0.005099	1.217667	3.955551	14.297787	21.839005	
0.267949	0.006560	1.115388	3.864132	14.820221	22.946389	
0.240907	0.003383	1.013435	3.952228	14.877843	22.233396	
0.263072	0.004039	1.077903	3.968280	14.927781	22.609113	
0.263186	0.004436	1.068896	3.918331	14.981561	22.471190	
0.283299	0.004295	1.152019	3.914378	16.099416	22.079924	
0.281113	0.004933	1.123499	3.821539	16.963737	22.435133	
0.267832	0.004934	1.052077	3.811284	17.286417	21.773202	
0.260780	0.004653	1.024508	3.878972	16.725569	22.490997	
0.254690	0.004566	0.992927	3.839334	18.438844	21.843764	
0.263453	0.004288	1.005762	3.709501	19.218654	22.696130	
0.255151	0.004999	0.970290	3.719443	18.385065	22.064627	
0.244825	0.004188	0.933056	3.711322	17.628304	22.359868	
0.233756	0.004619	0.863009	3.917584	15.999539	22.187464	
0.241487	0.003650	0.895388	3.794841	17.678242	20.886217	
0.236235	0.004029	0.874187	3.803031	18.911340	21.720448	
0.213480	0.003452	0.772910	3.808244	19.560541	22.015559	
0.215374	0.004526	0.771366	3.671703	19.714198	21.641543	
0.180973	0.003224	0.650053	3.858961	18.796097	22.340743	
0.152473	0.003290	0.536645	3.802425	19.187923	22.473510	
0.136821	0.003829	0.473145	3.503778	22.337892	22.589071	
0.131835	0.003466	0.456426	3.458506	22.602950	22.548906	
0.143184	0.003690	0.490177	3.416326	23.809158	22.647414	
0.121239	0.003023	0.409173	3.490906	23.428857	22.618670	
0.133339	0.004270	0.446509	3.424460	24.734942	22.716228	
0.130753	0.004052	0.435060	3.465472	25.979564	22.544302	
0.127960	0.002901	0.421426	3.414064	27.884911	22.723832	
