Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.370363	0.002566	0.367797	3.158610	57.720000	3.193237	58.130000	68.443045	
0.364950	0.002089	0.362861	3.169168	57.600000	3.206642	57.920000	68.441789	
0.360412	0.002050	0.358362	3.185764	57.460000	3.220078	57.870000	68.441439	
0.362774	0.002494	0.360280	3.188610	57.400000	3.219613	58.000000	68.440119	
0.357457	0.002116	0.355341	3.202628	57.480000	3.229415	57.950000	68.440374	
0.356720	0.002302	0.354418	3.224631	57.580000	3.248087	58.100000	68.438702	
0.360424	0.002612	0.357812	3.230066	57.360000	3.270559	57.880000	68.436504	
0.357497	0.002238	0.355259	3.236153	57.380000	3.291906	57.880000	68.434514	
0.352723	0.002415	0.350308	3.239233	57.420000	3.287806	57.980000	68.431751	
0.346821	0.002050	0.344771	3.265454	57.440000	3.310937	57.810000	68.428618	
0.346785	0.002510	0.344275	3.258294	57.400000	3.314326	57.610000	68.427896	
0.348428	0.002280	0.346149	3.259361	57.200000	3.311483	57.770000	68.430939	
0.340603	0.002124	0.338479	3.286197	57.120000	3.337277	58.010000	68.430603	
0.342543	0.002204	0.340339	3.284331	57.420000	3.336987	57.900000	68.427946	
0.342472	0.002436	0.340036	3.283337	57.460000	3.340510	57.710000	68.427148	
0.336138	0.002097	0.334041	3.296476	57.700000	3.355779	57.500000	68.425954	
0.340028	0.002277	0.337751	3.265930	57.660000	3.330906	57.620000	68.426136	
0.332083	0.001982	0.330102	3.295435	57.500000	3.358417	57.570000	68.426169	
0.334196	0.002139	0.332057	3.305291	57.560000	3.371948	57.770000	68.425946	
0.332585	0.002076	0.330508	3.289099	57.360000	3.358669	57.630000	68.425423	
0.328307	0.001956	0.326351	3.324724	57.720000	3.381998	57.840000	68.423068	
0.330568	0.002060	0.328508	3.314451	57.400000	3.360917	57.820000	68.423375	
0.331430	0.002121	0.329309	3.337267	57.620000	3.381562	57.550000	68.421275	
0.330300	0.002071	0.328229	3.362832	57.280000	3.416858	57.330000	68.418473	
0.329535	0.002402	0.327133	3.339660	57.860000	3.405082	57.720000	68.417808	
0.322227	0.001852	0.320375	3.331633	57.780000	3.390811	57.600000	68.419044	
0.329515	0.002421	0.327094	3.343658	57.540000	3.399844	57.630000	68.421160	
0.329102	0.002432	0.326670	3.341309	57.340000	3.400832	57.640000	68.419718	
0.317660	0.002058	0.315603	3.361059	57.300000	3.409770	57.580000	68.419421	
0.319155	0.001871	0.317284	3.394903	57.160000	3.436392	57.600000	68.420559	
0.319243	0.001984	0.317258	3.412153	57.040000	3.460099	57.480000	68.423295	
0.317188	0.002065	0.315124	3.383371	57.300000	3.435574	57.710000	68.426115	
0.320294	0.002085	0.318209	3.401011	57.200000	3.455586	57.720000	68.425053	
0.318327	0.002409	0.315918	3.390191	57.560000	3.444403	57.700000	68.424221	
0.319540	0.002732	0.316808	3.386943	57.140000	3.440178	57.640000	68.422715	
0.316884	0.002021	0.314863	3.370555	57.300000	3.433938	57.540000	68.421979	
0.312513	0.002067	0.310447	3.383351	57.240000	3.438813	57.320000	68.421127	
0.316675	0.002022	0.314653	3.394006	57.580000	3.451765	57.390000	68.419077	
0.313930	0.002298	0.311632	3.412839	57.460000	3.463978	57.330000	68.417816	
0.310432	0.002064	0.308367	3.412116	57.280000	3.462556	57.670000	68.418350	
0.314117	0.002365	0.311753	3.407011	57.320000	3.472794	57.480000	68.418408	
0.307095	0.001901	0.305194	3.420755	57.560000	3.480313	57.370000	68.416581	
0.308365	0.002004	0.306360	3.448270	57.280000	3.498614	57.410000	68.416027	
0.312651	0.002221	0.310429	3.446911	57.320000	3.490640	57.590000	68.415644	
0.307411	0.002028	0.305383	3.445792	57.540000	3.495235	57.490000	68.416552	
0.309830	0.002197	0.307633	3.424990	57.060000	3.469045	57.660000	68.416384	
0.305419	0.002027	0.303392	3.454221	56.940000	3.489165	57.500000	68.415073	
0.307989	0.002046	0.305943	3.465715	56.780000	3.491848	57.510000	68.415509	
0.306180	0.001973	0.304207	3.476933	57.040000	3.509250	57.580000	68.416426	
0.305940	0.002080	0.303860	3.467443	57.300000	3.497944	57.370000	68.415956	
0.301656	0.001738	0.299918	3.472593	57.240000	3.509432	57.330000	68.416136	
0.303980	0.002343	0.301637	3.473837	57.620000	3.505058	57.240000	68.415977	
0.299773	0.001816	0.297957	3.485726	57.580000	3.522829	57.460000	68.415441	
0.303333	0.001774	0.301560	3.506444	57.440000	3.561855	57.440000	68.414367	
0.305797	0.001912	0.303885	3.472697	57.260000	3.527176	57.660000	68.415046	
0.302021	0.002012	0.300009	3.492175	57.160000	3.548216	57.410000	68.413976	
0.309477	0.002334	0.307142	3.457546	57.460000	3.510205	57.410000	68.414296	
0.299717	0.001954	0.297763	3.465648	57.540000	3.514205	57.660000	68.414270	
0.306351	0.002119	0.304232	3.463066	57.460000	3.522835	57.800000	68.414633	
0.293753	0.001715	0.292037	3.444351	57.120000	3.507681	57.760000	68.415494	
0.297197	0.002039	0.295157	3.426145	57.560000	3.497900	57.530000	68.413839	
0.299018	0.002043	0.296975	3.461164	57.020000	3.529617	57.480000	68.412669	
0.299712	0.002266	0.297446	3.470254	57.140000	3.541961	57.170000	68.412901	
0.294809	0.001763	0.293045	3.499219	57.020000	3.568815	57.240000	68.413557	
0.303084	0.002209	0.300875	3.500304	57.380000	3.572082	57.440000	68.414785	
0.295943	0.001901	0.294041	3.487780	57.420000	3.563944	57.400000	68.413891	
0.294730	0.001876	0.292853	3.497824	57.280000	3.574844	57.280000	68.412688	
0.304964	0.002517	0.302447	3.469047	57.200000	3.533024	57.330000	68.411212	
0.294368	0.001883	0.292485	3.483866	57.060000	3.530849	57.660000	68.412380	
0.292379	0.001938	0.290441	3.508591	57.200000	3.552753	57.890000	68.412588	
0.292385	0.002001	0.290383	3.535917	57.020000	3.563354	57.910000	68.412119	
0.290953	0.001788	0.289165	3.567284	56.640000	3.587120	57.810000	68.411880	
0.293762	0.001841	0.291921	3.529403	56.980000	3.553898	57.660000	68.412487	
0.288198	0.001672	0.286526	3.517470	57.000000	3.546061	57.660000	68.412760	
0.289280	0.001945	0.287335	3.513622	57.180000	3.539869	57.660000	68.412094	
0.289975	0.001880	0.288095	3.513420	57.220000	3.547678	57.430000	68.411736	
0.290542	0.001779	0.288763	3.543483	56.920000	3.566400	57.300000	68.411417	
0.290379	0.002088	0.288291	3.534381	56.840000	3.556695	57.330000	68.411460	
0.292058	0.002365	0.289693	3.513825	57.000000	3.537713	57.490000	68.412023	
0.294647	0.002256	0.292391	3.539522	56.800000	3.575822	57.170000	68.411337	
0.288947	0.002025	0.286921	3.530363	56.700000	3.572240	57.130000	68.411470	
0.291683	0.002107	0.289577	3.546446	56.820000	3.594699	57.220000	68.410497	
0.286565	0.001757	0.284808	3.550482	56.740000	3.601415	56.910000	68.410346	
0.292461	0.002363	0.290097	3.541052	56.580000	3.585085	57.060000	68.410524	
0.286826	0.001668	0.285158	3.549933	56.380000	3.580633	57.550000	68.409374	
0.289820	0.002198	0.287622	3.565921	56.820000	3.591270	57.470000	68.409874	
0.285688	0.001648	0.284041	3.543119	56.640000	3.570254	57.380000	68.409189	
