Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
0.582158	0.569974	0.018477	1.672981	55.850000	
0.596180	0.583927	0.018401	1.660546	55.890000	
0.583646	0.571435	0.018190	1.664610	56.100000	
0.566214	0.553701	0.018491	1.659462	55.910000	
0.605020	0.592867	0.017813	1.651667	55.690000	
0.597520	0.584729	0.018334	1.600486	56.320000	
0.564628	0.551434	0.018113	1.610083	56.750000	
0.582861	0.569732	0.017855	1.595044	57.030000	
0.564267	0.550637	0.018396	1.616622	56.500000	
0.589517	0.576236	0.017786	1.620807	56.280000	
0.603751	0.589984	0.018297	1.641629	56.170000	
0.567492	0.553880	0.017722	1.645014	56.020000	
0.591632	0.577005	0.018262	1.642969	56.000000	
0.588051	0.573385	0.018149	1.657142	56.220000	
0.593480	0.579086	0.017680	1.629508	56.160000	
0.538441	0.523633	0.018055	1.640941	56.340000	
0.604540	0.590295	0.017244	1.674252	55.940000	
0.597002	0.582107	0.017664	1.688789	55.550000	
0.593001	0.577795	0.017341	1.664366	55.720000	
0.614836	0.599451	0.017396	1.642928	56.250000	
0.602095	0.586849	0.017117	1.640645	56.410000	
0.579512	0.563663	0.017670	1.629717	56.440000	
0.597500	0.581469	0.017749	1.621953	56.630000	
0.579417	0.563351	0.017395	1.590290	56.650000	
0.600671	0.584019	0.017415	1.573065	56.630000	
0.584516	0.567967	0.017167	1.555760	57.080000	
0.557491	0.540420	0.017588	1.537698	57.120000	
0.596986	0.579730	0.017660	1.560181	56.850000	
0.588730	0.571832	0.017176	1.553022	56.640000	
0.590175	0.573122	0.016916	1.551822	56.850000	
0.574893	0.557608	0.016636	1.547947	57.100000	
0.568641	0.550829	0.017011	1.564526	56.900000	
0.596351	0.578153	0.017266	1.553208	57.090000	
0.611954	0.593405	0.017486	1.550710	57.100000	
0.595556	0.577155	0.017233	1.567080	57.380000	
0.584046	0.565218	0.017153	1.551977	57.410000	
0.591860	0.572730	0.017004	1.582477	57.130000	
0.591965	0.572926	0.016793	1.561693	57.640000	
0.616176	0.596871	0.016922	1.557086	57.810000	
0.595445	0.575921	0.017007	1.529751	58.250000	
0.593428	0.573708	0.017072	1.510529	58.090000	
0.600333	0.580102	0.016954	1.515592	58.020000	
0.608403	0.587874	0.016902	1.524446	57.960000	
0.589357	0.568454	0.017082	1.539416	57.780000	
0.581761	0.560676	0.017127	1.532966	57.650000	
0.597364	0.576932	0.016497	1.535023	57.980000	
0.621342	0.600444	0.016773	1.493935	58.630000	
0.611272	0.590008	0.016444	1.482878	58.880000	
0.593733	0.572244	0.016429	1.472342	58.580000	
0.584995	0.563350	0.016433	1.478490	58.370000	
0.617987	0.597087	0.015777	1.508319	57.810000	
0.608599	0.587456	0.015867	1.509301	58.350000	
0.613775	0.591634	0.016508	1.496647	58.770000	
0.605463	0.582952	0.016121	1.505255	58.570000	
0.601316	0.578200	0.016442	1.503023	58.580000	
0.586417	0.562710	0.016767	1.502982	58.530000	
0.591748	0.568731	0.016187	1.489753	58.920000	
0.615970	0.593526	0.015696	1.490417	58.580000	
0.596189	0.572303	0.016463	1.475635	59.220000	
0.607925	0.584191	0.015866	1.478740	59.090000	
0.631598	0.607137	0.016243	1.482045	58.710000	
0.590042	0.566155	0.015776	1.484592	58.820000	
0.596332	0.571705	0.016175	1.473380	58.810000	
0.618789	0.594113	0.016120	1.464160	58.780000	
0.590757	0.565269	0.016280	1.461443	58.580000	
0.622902	0.597182	0.016085	1.480002	58.340000	
0.607461	0.581392	0.016200	1.475310	58.630000	
0.627850	0.602513	0.015661	1.484136	58.660000	
0.604176	0.579051	0.015448	1.498079	58.770000	
0.618494	0.592361	0.015983	1.477042	58.890000	
0.620787	0.593950	0.015917	1.463236	59.410000	
0.615117	0.587930	0.015940	1.445582	59.670000	
0.615786	0.589556	0.015284	1.443608	59.400000	
0.609279	0.581904	0.015869	1.440598	59.640000	
0.625369	0.598381	0.015565	1.444096	59.550000	
0.644232	0.617472	0.015315	1.450644	59.540000	
0.606382	0.578048	0.015685	1.467889	59.400000	
0.608082	0.579462	0.015749	1.460525	59.310000	
0.628532	0.599851	0.015702	1.441074	59.310000	
0.620824	0.592637	0.015356	1.443707	59.550000	
0.620722	0.591828	0.015663	1.437993	59.920000	
0.632002	0.602693	0.015609	1.453896	59.820000	
0.638481	0.608806	0.015460	1.434638	59.870000	
0.600548	0.570597	0.015513	1.430019	59.760000	
0.625184	0.595397	0.015353	1.454901	59.500000	
0.639375	0.609326	0.015413	1.465592	59.080000	
0.635763	0.605872	0.015258	1.478134	58.820000	
0.594373	0.563861	0.015147	1.463783	58.810000	
0.624774	0.593820	0.015203	1.456785	58.860000	
0.607479	0.575506	0.015615	1.462849	58.710000	
0.620307	0.588550	0.015436	1.444022	59.370000	
0.592217	0.559579	0.015790	1.433932	59.560000	
0.627905	0.595396	0.015580	1.430777	59.180000	
0.610135	0.576955	0.015461	1.414300	59.630000	
0.622701	0.590242	0.015042	1.417795	59.590000	
0.635720	0.602817	0.015177	1.406043	59.890000	
0.625585	0.592511	0.015186	1.411902	59.950000	
0.626956	0.592829	0.015598	1.430601	59.950000	
0.637441	0.603020	0.015405	1.422223	60.230000	
0.621777	0.587457	0.015126	1.429595	60.240000	
0.614892	0.580666	0.015003	1.439767	59.820000	
0.610762	0.576389	0.014999	1.417251	60.360000	
0.615243	0.580181	0.015231	1.399041	60.560000	
0.626462	0.591145	0.015267	1.378717	60.800000	
0.653297	0.618480	0.014599	1.371172	60.910000	
0.589160	0.552621	0.015239	1.376034	60.750000	
0.610306	0.573606	0.015240	1.380069	60.620000	
0.600060	0.564429	0.014730	1.408259	60.430000	
0.623068	0.586924	0.014878	1.406841	60.470000	
0.633620	0.596121	0.015170	1.393331	60.440000	
0.628766	0.591702	0.014741	1.403736	60.490000	
0.651327	0.614427	0.014599	1.419684	60.340000	
0.621326	0.583673	0.014832	1.420048	60.690000	
0.622485	0.584347	0.014960	1.400353	61.060000	
0.649419	0.612335	0.014484	1.394575	61.100000	
0.614604	0.575351	0.014886	1.371615	61.420000	
0.637471	0.597854	0.014960	1.370004	61.230000	
0.622581	0.582593	0.015027	1.351530	61.450000	
0.651390	0.611234	0.015027	1.325388	61.890000	
